Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,196.220001,197.240005,183.970001,185.889999,185.889999,27984100
2020-03-04,189.169998,191.830002,186.389999,191.759995,191.759995,23062500
2020-03-05,186.779999,188.990005,183.889999,185.169998,185.169998,19333400
2020-03-06,178.330002,183.779999,176.259995,181.089996,181.089996,24559600
2020-03-09,169.600006,175.000000,165.190002,169.500000,169.500000,29949000
2020-03-10,174.669998,178.289993,169.500000,178.190002,178.190002,24517800
2020-03-11,174.009995,175.880005,167.660004,170.240005,170.240005,20373900
2020-03-12,159.539993,166.600006,154.339996,154.470001,154.470001,43266300
2020-03-13,163.529999,170.789993,157.600006,170.279999,170.279999,35028600
2020-03-16,152.320007,159.130005,143.100006,146.009995,146.009995,39120400
2020-03-17,150.740005,153.940002,140.000000,149.419998,149.419998,34255600
2020-03-18,139.750000,148.179993,137.100006,146.960007,146.960007,37553100
2020-03-19,146.619995,159.929993,144.800003,153.130005,153.130005,39862300
2020-03-20,156.020004,159.270004,148.000000,149.729996,149.729996,32568400
2020-03-23,149.660004,152.309998,142.250000,148.100006,148.100006,29830800
2020-03-24,155.210007,161.309998,152.570007,160.979996,160.979996,30440400
2020-03-25,158.919998,162.990005,153.059998,156.210007,156.210007,35184300
2020-03-26,158.250000,164.000000,157.020004,163.339996,163.339996,26556800
2020-03-27,158.199997,160.089996,154.750000,156.789993,156.789993,24879900
2020-03-30,159.179993,166.750000,158.059998,165.949997,165.949997,22515200
2020-03-31,165.479996,170.929993,164.199997,166.800003,166.800003,23676300
2020-04-01,161.619995,164.149994,158.039993,159.600006,159.600006,19507600
2020-04-02,159.100006,161.350006,155.919998,158.190002,158.190002,20886300
2020-04-03,157.149994,157.910004,150.830002,154.179993,154.179993,25983300
2020-04-06,160.149994,166.199997,158.509995,165.550003,165.550003,28453600
2020-04-07,171.789993,173.389999,166.009995,168.830002,168.830002,31411900
2020-04-08,171.250000,175.000000,167.740005,174.279999,174.279999,21664200
2020-04-09,175.899994,177.080002,171.570007,175.190002,175.190002,23534300
2020-04-13,173.669998,175.000000,169.449997,174.789993,174.789993,19355400
2020-04-14,178.979996,181.229996,176.619995,178.169998,178.169998,21011800
2020-04-15,175.190002,178.190002,172.820007,176.970001,176.970001,17423000
2020-04-16,177.949997,178.050003,172.509995,176.250000,176.250000,23593200
2020-04-17,179.199997,180.279999,176.660004,179.240005,179.240005,20974800
2020-04-20,177.410004,180.500000,176.770004,178.240005,178.240005,16110700
2020-04-21,175.250000,175.380005,168.339996,170.800003,170.800003,24850500
2020-04-22,178.449997,184.779999,178.139999,182.279999,182.279999,33369900
2020-04-23,184.080002,187.050003,183.149994,185.130005,185.130005,21426600
2020-04-24,183.229996,190.410004,180.830002,190.070007,190.070007,28868500
2020-04-27,192.660004,193.750000,187.410004,187.500000,187.500000,29197800
2020-04-28,188.660004,189.199997,182.559998,182.910004,182.910004,21731000
2020-04-29,190.929993,196.910004,190.000000,194.190002,194.190002,45954500
2020-04-30,206.919998,209.690002,201.570007,204.710007,204.710007,46230100
2020-05-01,201.600006,207.279999,199.050003,202.270004,202.270004,30415600
2020-05-04,200.199997,205.910004,198.759995,205.259995,205.259995,19250700
2020-05-05,207.020004,210.380005,206.500000,207.070007,207.070007,21071200
2020-05-06,208.119995,211.600006,206.660004,208.470001,208.470001,21857000
2020-05-07,211.160004,211.600006,209.039993,211.259995,211.259995,15152000
2020-05-08,212.240005,213.210007,210.850006,212.350006,212.350006,12524000
2020-05-11,210.889999,215.000000,210.369995,213.179993,213.179993,12911900
2020-05-12,213.289993,215.279999,210.000000,210.100006,210.100006,14704600
2020-05-13,209.429993,210.779999,202.110001,205.100006,205.100006,20684600
2020-05-14,202.559998,206.929993,200.690002,206.809998,206.809998,17178900
2020-05-15,205.270004,211.339996,204.119995,210.880005,210.880005,19383200
2020-05-18,212.149994,214.639999,210.940002,213.190002,213.190002,20167400
2020-05-19,213.270004,220.490005,212.830002,216.880005,216.880005,31843200
2020-05-20,223.500000,231.339996,223.190002,229.970001,229.970001,50162900
2020-05-21,234.720001,237.199997,231.199997,231.389999,231.389999,47782600
2020-05-22,231.509995,235.990005,228.740005,234.910004,234.910004,33925600
2020-05-26,239.770004,240.899994,231.669998,232.199997,232.199997,33178300
2020-05-27,229.070007,230.559998,221.130005,229.139999,229.139999,34697600
2020-05-28,224.300003,231.630005,224.000000,225.460007,225.460007,29377200
2020-05-29,225.199997,227.490005,222.880005,225.089996,225.089996,23322500
2020-06-01,224.589996,232.440002,223.500000,231.910004,231.910004,18223800
